,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
State,-0.041630655036181435,0.20982907487458785,0.31959043165307205,0.33975681818274855,0.8026608087392059,0.02138947123658524,0.06177298740092041,0.18229986758080327,-0.19153068370132093,-0.11373970032517434,-0.033174317008483584,-0.06458239478559132,0.0016547145441577753,-3.540955026804702e-17
ChargingStations,0.09341959696347896,0.45207699649360245,-0.07092013202989458,-0.16888780565501293,0.04762248211153611,-0.13443904507848814,0.07811639435690934,-0.1187546802137629,-0.11676109219664776,0.42968853065918766,-0.5222522649347369,0.3232827252722821,0.3705067807940667,6.727812387617524e-17
CSper1000kms,0.35848302924250874,0.04448771574062718,0.07880594124854616,0.398956521627819,-0.141236149906619,-0.4064013828979569,0.4665483572847028,0.004272042302268226,0.3340356160088908,0.05641075267674161,-0.19525987219665702,-0.028895664216683062,-0.3842074718101937,7.112553280517167e-17
EVPer1000People,0.42321637694821496,-0.058003333178779704,-0.14968638911621715,0.11006141232413849,-0.05404179783522582,0.3763584821219241,0.1336915949081099,-0.07766329642533593,-0.3343552410686568,-0.19327349455152082,-0.08727620762856028,0.11474005472399333,-0.028350192348468944,-0.6661820381891994
EVSales2023,0.13852345762743284,0.4093503183991729,-0.27453988841912264,-0.1698653337091319,0.07820346489832106,-0.03656895851506349,-0.02765375170237338,-0.31250614080996014,0.06671144060944804,-0.21701235436986183,-0.07117601513381552,-0.7384619211590648,0.034676872961712034,-8.751053224448122e-17
PCI2022-23,0.35440085241341857,-0.03205397222957965,0.37634151143272804,-0.064713014299511,0.09723179078926797,0.3204500803133118,0.13703607251179206,-0.2772741688316395,0.36425868406662204,0.36446872142304376,0.4018236193988518,-0.06867731170341154,0.2967307098680932,1.3295757565245582e-16
Population 2011,0.05297219371758646,0.4317892925637503,-0.26247921192942086,-0.09249043538215657,0.15334872548335954,-0.1533835669199288,-0.03907073966207382,-0.239943632112796,0.11631001613917599,-0.22565814420447536,0.5009808055359036,0.513194975479992,-0.21990872746820003,4.363065874229407e-17
Population Density,0.28433364240853526,-0.20494076342633988,-0.3152098650922978,-0.1312590363094977,0.354020941888293,0.17222905552727574,-0.41198087436925823,0.20930965901536844,0.5114458997899595,0.05211238538400262,-0.29822048318560496,0.09443876907176552,-0.17288225395460202,9.627380805585892e-17
SurfacedRoads,0.04305635397563872,0.39335287125097407,-0.0619644369832617,-0.24399271727549054,-0.14405280923147365,0.2552737069739612,0.26773519066380225,0.7442985418072121,0.03699320782218436,0.11713262867879816,0.18232709886565612,-0.10095076319412308,-0.09973226586493562,-4.1834972616414433e-17
SurfacedRoadsPercent,0.006061724489949856,0.3163095000658515,0.47423676644650126,0.09371637839881262,-0.30645945653523066,0.17283181275507653,-0.2580396961496862,0.044408768541152666,0.30522441221158264,-0.5261939257209473,-0.24423443627742494,0.14151438755558307,0.1554498533210174,7.508355897691054e-17
TotalRuralTrends,-0.3310080326501258,-0.15977954158442653,-0.3334429608098536,0.05790198870079766,0.13207222098904542,0.15200643934059904,0.554829676373726,-0.011784501942507228,0.34544871192268944,-0.30227824118192137,-0.08081662000204011,0.0981231209931059,0.4183025674926695,2.042147348941212e-16
TotalurbanTrend,0.3865516961383016,-0.08500186541839458,-0.16766173553009422,0.20437763126963185,-0.05081401978591785,-0.4464107456725652,-0.20762735809875799,0.3297010051337834,-0.05598189552041083,-0.1344495352404036,0.24716002226180317,-0.036454856046001544,0.5797996386696025,5.591582997378851e-17
HighCapitaEV_Adoption,0.43099969887076406,-0.13052510426944913,-0.02326796140941561,-0.14603339731619164,0.01200233609587751,0.21732669253244657,0.19506681125215947,-0.054254143823961896,-0.3110995516282504,-0.26816844434977627,-0.10230607285270207,0.11586817977841594,-0.0339757972228053,0.7022978123581086
LowCapitaEV_Adoption,-0.08268755324076213,0.21129825375491257,-0.3322379483076161,0.7008374680673304,-0.17704602455301124,0.3908849319314593,-0.19099729959532222,-0.05433337926569949,-0.016962771346573043,0.23740659962363103,0.0546209295895736,-0.019669549730942412,0.019823096042770043,0.2509567188801661
