S.No,State,CNG ONLY,DIESEL,ELECTRIC(BOV),PETROL,PETROL/HYBRID,Total,PercentofTotal,PDMarketShare,population_Lookup.Population 2011,population_Lookup.Population Density,EvPer1000People,Petrolper1000People,PerCapita_net_income_lookup.2022-23,HighPerCapitaVSEVAdoption,LowPerCapitaVSEVAdoption,StateArea,EVOwnedPer100km2,KO_Criteria,Att_Criteria
2,Andhra Pradesh,11535,122624,32850,684622,10789,894231,4,$90.30 ,49386799,308,$0.67 ,$13.90 ,219881,0.6652,0,160346.75,20.48685115,1,0
3,Arunachal Pradesh,4,7575,21,20707,1029,30876,1,$91.60 ,1383727,17,$0.02 ,$15 ,199992,0,0.0152,81395.70588,0.025799887,0,0
4,Assam,501,44259,60793,515116,7966,653574,10,$85.60 ,31205576,398,$1.95 ,$16.50 ,119308,0,1.9481,78405.96985,77.53618776,1,1
5,Bihar,27819,84118,88219,1051917,5799,1288303,7,$88.20 ,104099452,1106,$0.85 ,$10.10 ,53478,0,0.8474,94122.47016,93.72788437,1,1
7,Chhattisgarh,1,74331,38243,434267,8403,564431,7,$90.10 ,25545198,189,$1.50 ,$17 ,137329,0,1.4971,135159.7778,28.29466031,1,0
6,Chandigarh,122,7623,6414,34491,3751,53226,13,$79.10 ,1055450,9258,$6.08 ,$32.70 ,399654,6.077,0,114.0041046,5626.113222,1,1
9,Goa,155,4824,9483,56390,2802,81323,12,$75.30 ,1458545,394,$6.50 ,$38.70 ,492648,6.5017,0,3701.890863,256.166385,1,1
10,Gujarat,76348,243411,88615,1264380,22136,1820961,5,$82.80 ,60439692,308,$1.47 ,$20.90 ,272451,1.4662,0,196232.7662,45.1581057,1,0
8,Delhi,26869,12601,73672,475436,24050,657970,12,$74.20 ,16787941,11320,$4.39 ,$28.30 ,430120,4.3884,0,1483.033657,4967.655295,1,1
11,Haryana,28384,137153,30494,552525,23001,836482,4,$82.40 ,25351462,573,$1.20 ,$21.80 ,296592,1.2028,0,44243.38918,68.92329129,1,1
12,Himachal Pradesh,56,18145,1131,102573,3901,127469,1,$94.70 ,6864602,123,$0.16 ,$14.90 ,218788,0.1648,0,55809.77236,2.026526811,0,0
13,Jammu & Kashmir,0,23486,9748,133638,3063,171608,6,$91.60 ,12541302,56,$0.78 ,$10.70 ,130492,0,0.7773,223951.8214,4.35272191,0,0
