Name,Brand,Model,BasePrice,PriceRange,isLowBudget,isMidBudget,isHighBudget
MG Windsor EV,MG,Windsor,13.5,¹ 13.50 - 15.50 Lakh,0,1,0
MG Comet EV,MG,Comet,6.99,¹ 6.99 - 10.63 Lakh,1,0,0
Tata Curvv EV,Tata,Curvv,17.4,¹ 17.49 - 21.99 Lakh,0,1,0
Tata Tiago EV,Tata,Tiago,7.99,¹ 7.99 - 11.49 Lakh,1,0,0
Tata Punch EV,Tata,Punch,9.99,¹ 9.99 - 14.29 Lakh,1,0,0
BYD Seal,BYD,Seal,41,¹ 41.00 - 53.00 Lakh,0,0,1
Tata Nexon EV,Tata,Nexon,12.4,¹ 12.49 - 17.19 Lakh,0,1,0
BYD Atto 3,BYD,Atto,24.9,¹ 24.99 - 34.49 Lakh,0,0,1
BYD eMax 7,BYD,eMax,26.9,¹ 26.90 - 29.90 Lakh,0,0,1
Volvo EX40,Volvo,EX40,56.1,¹ 56.10 Lakh,0,0,1
Hyundai Ioniq 5,Hyundai,Ioniq,46,¹ 46.05 Lakh,0,0,1
Mahindra XUV400,Mahindra,XUV400,15.4,¹ 15.49 - 19.19 Lakh,0,1,0
Kia EV6,Kia,EV6,60.9,¹ 60.97 - 65.97 Lakh,0,0,1
MG ZS EV,MG,ZS,18.9,¹ 18.98 - 25.75 Lakh,0,1,0
Jaguar I-Pace,Jaguar,I-Pace,1.06,¹ 1.06 - 1.26 Crore,1,0,0
Kia EV9,Kia,EV9,1.3,¹ 1.30 Crore,1,0,0
Audi e-tron GT,Audi,e-tron,1.72,¹ 1.72 - 1.95 Crore,1,0,0
BMW i4,BMW,i4,72.5,¹ 72.50 - 77.50 Lakh,0,0,1
BMW i7,BMW,i7,1.95,¹ 1.95 - 2.50 Crore,1,0,0
Rolls-Royce Spectre,Rolls-Royce,Spectre,7.5,¹ 7.50 Crore,1,0,0
