Sl. No.,State,Number of EV charging Stations on National Highways,population_Lookup.Population Density,population_Lookup.Population 2011,StateArea,CSPer1000Kms,KO_Criteria,Att_Criteria
2,Andhra Pradesh,249,308,49386799,160347,1.552882187,1,0
3,Arunachal Pradesh,30,17,1383727,81396,0.36856848,0,0
4,Assam,147,398,31205576,78406,1.874856516,1,0
5,Bihar,96,1106,104099452,94123,1.019941991,1,0
6,Chhattisgarh,116,189,25545198,135160,0.858242083,0,0
8,Goa,33,394,1458545,3702,8.914100486,1,1
7,Delhi,10,11320,16787941,1484,6.738544474,1,1
9,Gujarat,259,308,60439692,196233,1.319859555,1,0
10,Haryana,284,573,25351462,44244,6.418949462,1,1
11,Himachal Pradesh,68,123,6864602,55810,1.218419638,1,0
13,Jharkhand,87,414,32988134,79682,1.091840064,1,0
14,Karnataka,300,319,61095297,191522,1.566399683,1,0
15,Kerala,138,860,33406061,38845,3.55258077,1,1
21,Madhya Pradesh,231,236,72626809,307741,0.750631213,0,0
17,Maharashtra,750,365,112374333,307875,2.436053593,1,1
18,Manipur,27,128,2855794,22311,1.210165389,1,0
19,Meghalaya,35,132,2966889,22477,1.557147306,1,0
20,Mizoram,8,52,1097206,21101,0.379128951,0,0
22,Nagaland,13,119,1978502,16627,0.781860829,0,0
23,Odisha,189,270,41974218,155461,1.215738996,1,0
25,Punjab,195,551,27743338,50351,3.872812854,1,1
26,Rajasthan,482,200,68548437,342743,1.406301515,1,0
27,Sikkim,3,86,610577,7100,0.422535211,0,0
28,Tamil Nadu,369,555,72147030,129995,2.838570714,1,1
29,Telangana,221,306,35193978,115013,1.921521915,1,0
30,Tripura,24,350,3673917,10497,2.286367534,1,1
32,Uttarakhand,79,189,10086292,53367,1.480315551,1,0
31,Uttar Pradesh,577,829,199812341,241029,2.393902808,1,1
33,West Bengal,208,1028,91276115,88790,2.342606149,1,1
