S.No,State,Total,Surfaced,Unsurfaced,SurfacedPercent,HighClass,LowClass,MidClass
0,Andhra Pradesh,112787,62878,49909,55.7493,0,0,1
1,Arunachal Pradesh,11217,6330,4887,56.4322,0,0,1
2,Assam,255389,27670,227719,10.8345,0,1,0
3,Bihar,175373,84794,90579,48.3507,0,0,1
4,Chhattisgarh,35048,29909,5139,85.3373,1,0,0
5,Goa,8693,4889,3804,56.2407,0,0,1
6,Gujarat,62875,58110,4765,92.4215,1,0,0
7,Haryana,6974,6603,371,94.6802,1,0,0
8,Himachal Pradesh,16552,12069,4483,72.9157,1,0,0
9,Jammu & Kashmir,13127,8046,5081,61.2935,1,0,0
10,Jharkhand,21150,13221,7929,62.5106,1,0,0
11,Karnataka,184918,105562,79356,57.0858,0,0,1
12,Kerala,127985,81252,46733,63.4856,1,0,0
13,Madhya Pradesh,177060,153993,23067,86.9722,1,0,0
14,Maharashtra,267402,204345,63057,76.4187,1,0,0
15,Manipur,11121,4906,6215,44.1147,0,0,1
16,Meghalaya,2807,1105,1702,39.3659,0,1,0
17,Mizoram,2852,2323,529,81.4516,1,0,0
18,Nagaland,23093,9877,13216,42.7705,0,0,1
19,Odisha,217919,205118,12801,94.1258,1,0,0
20,Punjab,69170,68459,711,98.9721,1,0,0
21,Rajasthan,108159,65878,42281,60.9085,1,0,0
22,Sikkim,4780,3890,890,81.3808,1,0,0
23,Tamil Nadu,165291,120272,45019,72.7638,1,0,0
24,Telangana,70808,37165,33643,52.487,0,0,1
25,Tripura,24106,9764,14342,40.5044,0,0,1
26,Uttarakhand,9104,6138,2966,67.4209,1,0,0
27,Uttar Pradesh,80044,69489,10555,86.8135,1,0,0
28,West Bengal,169720,20822,148898,12.2684,0,1,0
29,Daman & Diu,293,111,182,37.884,0,1,0
30,Puducherry,1438,1081,357,75.1739,1,0,0
