State,2000-01,2001-02,2002-03,2003-04,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,LowerClass,MiddleClass,UpperClass,Att_Criteria,KO_Criteria
All- India per capita NNI,16688,17782,18885,20871,27131,31206,35825,40775,46249,54021,70983,79118,86647,94797,104880,115224,125946,132341,127244,150906,169496,184205,0,1,0,0,1
Andaman & Nicobar Islands,25047,26910,29830,32670,44754,53778,61430,69177,78936,80558,98777,111087,126344,137064,153904,178709,204254,219653,205368,229570,258151,0,0,1,0,0,1
Andhra Pradesh,17195,18573,19434,21931,28223,32961,39780,44376,50515,58733,74687,82870,93903,108002,120676,138299,154031,160341,168063,197214,219881,242479,0,1,0,0,1
Arunachal Pradesh,15260,17664,17124,19322,28171,30132,34466,39726,51068,60961,82626,94135,114789,116985,124129,138836,155103,182171,181537,190851,199992,0,0,1,0,0,1
Assam,12803,13059,14421,15487,18396,19737,21290,24099,28383,33087,44599,49734,52895,60817,66330,75151,81034,90123,86947,103371,119308,135787,1,0,0,0,0
Bihar,6415,6200,6930,6852,8223,9967,11051,13728,15457,19111,24487,26948,28671,30404,34045,36850,40715,44175,42128,47296,53478,60337,1,0,0,0,0
Chandigarh,49771,54836,63840,70434,84993,97568,102980,108486,117371,126651,180457,203356,212594,230009,252236,280512,307812,330703,290417,337406,399654,0,0,0,1,1,1
Chhattisgarh,10744,12170,13002,15515,20117,24800,29385,34360,34366,41165,60849,69880,72936,72991,83285,88793,102024,106611,106117,122934,137329,147361,1,0,0,0,0
Delhi,40678,42375,45337,49004,72208,83275,95241,111756,125936,145129,205568,227900,247209,270261,295558,318323,338730,355798,322311,376217,430120,461910,0,0,1,1,1
Goa,43735,44110,48839,54577,84721,94882,108708,135966,149164,168024,234354,215776,289185,334576,378953,411740,423716,435949,423047,459094,492648,0,0,0,1,1,1
Gujarat,18392,19823,22683,26922,37780,43395,50016,55068,64097,77485,102826,113139,127017,139254,156295,176961,197457,212428,207324,241584,272451,0,0,0,1,1,1
Haryana,25583,28022,30433,34085,42309,49261,56917,67405,82037,93852,121269,137770,147382,164963,184982,208437,223022,232530,224587,264729,296592,325759,0,0,1,1,1
Himachal Pradesh,22795,24608,26627,28333,36949,40393,43966,49903,58402,68297,99730,114095,123299,135512,150290,165497,174804,186559,173152,195795,218788,235199,0,1,0,0,1
Jammu & Kashmir,14268,15019,16739,17991,23240,25059,27448,30212,33650,40089,57279,61907,62327,74950,78960,87710,98738,101868,101645,112898,130492,142138,1,0,0,0,0
Jharkhand,10345,11034,11835,12951,18326,19789,24789,25046,28223,34721,47360,50006,57301,52754,60018,67484,75421,75016,69963,88500,96449,105274,1,0,0,0,0
Karnataka,18344,18547,19621,20901,31239,35981,42419,48084,51364,62251,102319,118829,130024,148108,169898,185840,205245,222141,221781,266866,304474,332926,0,0,1,1,1
Kerala,20094,21257,23484,25999,36958,41318,46865,54560,62114,69943,110314,123388,135537,148133,166246,183252,205437,208879,194432,230280,252662,281001,0,1,0,0,1
Madhya Pradesh,11862,12697,12303,14306,16631,19028,20935,25278,28651,32453,44773,51849,55678,62080,74324,81966,92337,101909,102007,116689,132010,142565,1,0,0,0,0
Maharashtra,22777,24035,26015,29139,41965,49831,57760,62234,69765,84858,112092,125261,132836,146815,163726,172663,182865,189843,182454,219573,252389,277603,0,1,0,0,1
Manipur,12369,12970,13250,14728,20251,21220,22820,24413,26621,28336,41230,47798,52717,55447,59345,71507,73795,78574,75784,98826,111853,0,1,0,0,0,0
Meghalaya,15657,17241,18208,19702,24885,28940,31602,36992,38819,43766,64477,66281,66485,71594,77585,82457,88954,95422,90751,107971,123896,136948,1,0,0,0,0
